Optimizing Blaze Angle:
Original grating Efficiency:

Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.67 	60  	0.319112 	0.16233 	0.0496459 	0.000342304



Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.66 	60  	0.320682 	0.162821 	0.0484936 	0.000381983
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.65 	60  	0.322266 	0.163293 	0.0473397 	0.000428902
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.64 	60  	0.323865 	0.163746 	0.0461852 	0.000482534
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.63 	60  	0.325478 	0.164178 	0.0450307 	0.000542346
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.62 	60  	0.327107 	0.164589 	0.0438771 	0.000607804
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.61 	60  	0.32875 	0.164979 	0.0427252 	0.000678374
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.6 	60  	0.330409 	0.165347 	0.0415756 	0.00075352
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.59 	60  	0.332082 	0.165692 	0.0404294 	0.00083271
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.58 	60  	0.333771 	0.166015 	0.0392871 	0.000915412
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.57 	60  	0.335475 	0.166315 	0.0381498 	0.0010011
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.56 	60  	0.337194 	0.16659 	0.037018 	0.00108926
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.55 	60  	0.338929 	0.166841 	0.0358927 	0.00117936
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.54 	60  	0.340679 	0.167067 	0.0347745 	0.00127092
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.53 	60  	0.342444 	0.167268 	0.0336644 	0.00136342
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.52 	60  	0.344226 	0.167443 	0.032563 	0.00145638
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.51 	60  	0.346023 	0.167592 	0.0314712 	0.00154934
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.5 	60  	0.347835 	0.167714 	0.0303896 	0.00164182
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.49 	60  	0.349664 	0.167808 	0.0293191 	0.00173338
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.48 	60  	0.351509 	0.167875 	0.0282604 	0.00182358
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.47 	60  	0.353369 	0.167913 	0.0272141 	0.00191201
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.46 	60  	0.355245 	0.167923 	0.0261811 	0.00199827
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.45 	60  	0.357138 	0.167904 	0.025162 	0.00208198
Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.47 	60  	0.353369 	0.167913 	0.0272141 	0.00191201


Optimized Blaze angle:Blazed 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	1.46 	60  	0.355245 	0.167923 	0.0261811 	0.00199827
