Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.811307 	0.0989009 	0.00164495 	0.000183793
Blazed 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.805402 	0.104906 	0.00126914 	0.000323281
Blazed 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.79932 	0.110626 	0.000918148 	0.000499108
Blazed 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.792934 	0.115907 	0.000605124 	0.000705622
Blazed 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.785948 	0.120501 	0.000344524 	0.000932387
Blazed 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.777214 	0.123685 	0.000151629 	0.00115509
Blazed 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.765187 	0.125242 	4.83256E-05 	0.00133567
Blazed 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.75219 	0.126045 	2.98766E-05 	0.00148074
Blazed 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.738541 	0.126296 	8.81398E-05 	0.00158841
Blazed 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.722784 	0.125255 	0.000211789 	0.00163644
Blazed 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.705659 	0.123638 	0.000378574 	0.00164717
Blazed 	1.2(0:0:0) 		176 		 0 		155 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.686773 	0.121341 	0.00056675 	0.00162688
Blazed 	1.2(0:0:0) 		176 		 0 		160 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.6675 	0.119119 	0.000762507 	0.00160433
Blazed 	1.2(0:0:0) 		176 		 0 		165 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.647197 	0.116707 	0.000952672 	0.00157657
Blazed 	1.2(0:0:0) 		176 		 0 		170 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.627339 	0.114949 	0.00113959 	0.00156897
Blazed 	1.2(0:0:0) 		176 		 0 		175 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.609004 	0.114017 	0.00133959 	0.00158439
Blazed 	1.2(0:0:0) 		176 		 0 		180 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.592083 	0.11363 	0.00156046 	0.00161382
Blazed 	1.2(0:0:0) 		176 		 0 		185 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.576403 	0.113775 	0.00180653 	0.00165766
Blazed 	1.2(0:0:0) 		176 		 0 		190 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.563048 	0.114781 	0.00210172 	0.00172321
Blazed 	1.2(0:0:0) 		176 		 0 		195 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.550917 	0.115834 	0.00243664 	0.00178492
Blazed 	1.2(0:0:0) 		176 		 0 		200 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.538888 	0.116747 	0.00279512 	0.00184081
