Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.833498 	0.0788235 	0.00337713 	2.46839E-05
Blazed 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.828537 	0.0840428 	0.00306005 	7.6056E-06
Blazed 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.823351 	0.0890821 	0.00271494 	1.77228E-05
Blazed 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.8178 	0.0938117 	0.00234674 	5.68498E-05
Blazed 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.811568 	0.0980227 	0.00196183 	0.000125424
Blazed 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.803452 	0.101111 	0.00156213 	0.000220166
Blazed 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.791926 	0.102875 	0.00119677 	0.000322136
Blazed 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.77936 	0.104021 	0.000884268 	0.000424885
Blazed 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.766085 	0.104707 	0.000631347 	0.000520635
Blazed 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.75059 	0.104305 	0.000436741 	0.000595568
Blazed 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.733676 	0.103403 	0.000305444 	0.000649006
Blazed 	1.2(0:0:0) 		176 		 0 		155 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.714944 	0.101906 	0.000227126 	0.000680787
Blazed 	1.2(0:0:0) 		176 		 0 		160 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.695825 	0.10045 	0.000186688 	0.00070343
Blazed 	1.2(0:0:0) 		176 		 0 		165 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.675655 	0.098812 	0.000172409 	0.000716598
Blazed 	1.2(0:0:0) 		176 		 0 		170 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.655984 	0.0977179 	0.000170697 	0.000733617
Blazed 	1.2(0:0:0) 		176 		 0 		175 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.637894 	0.0973289 	0.000175693 	0.000760508
Blazed 	1.2(0:0:0) 		176 		 0 		180 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.621244 	0.0974102 	0.000188177 	0.000795406
Blazed 	1.2(0:0:0) 		176 		 0 		185 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.605866 	0.0979578 	0.000208228 	0.00083901
Blazed 	1.2(0:0:0) 		176 		 0 		190 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.592873 	0.0992672 	0.000239137 	0.000898134
Blazed 	1.2(0:0:0) 		176 		 0 		195 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.581077 	0.100628 	0.000287532 	0.000960726
Blazed 	1.2(0:0:0) 		176 		 0 		200 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.569353 	0.101876 	0.000350654 	0.00102293
Blazed 	1.2(0:0:0) 		176 		 0 		205 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.557778 	0.103089 	0.000428165 	0.00108602
Blazed 	1.2(0:0:0) 		176 		 0 		210 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.54653 	0.104456 	0.000519754 	0.00115435
Blazed 	1.2(0:0:0) 		176 		 0 		215 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.536488 	0.106224 	0.000632025 	0.00123357
Blazed 	1.2(0:0:0) 		176 		 0 		220 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.52788 	0.108434 	0.000771266 	0.00132505
Blazed 	1.2(0:0:0) 		176 		 0 		225 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.520279 	0.110809 	0.000940693 	0.00142199
Blazed 	1.2(0:0:0) 		176 		 0 		230 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.513078 	0.11322 	0.00113836 	0.0015216
