Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0182756 	0.00102811 	0.000178759
Blazed 	1.2(0:0:0) 		176 		 0 		105 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0260156 	0.00110219 	0.000189359
Blazed 	1.2(0:0:0) 		176 		 0 		110 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0265193 	0.00111208 	0.000185153
Blazed 	1.2(0:0:0) 		176 		 0 		115 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0276818 	0.00112721 	0.000179595
Blazed 	1.2(0:0:0) 		176 		 0 		120 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.030897 	0.00117005 	0.000174578
Blazed 	1.2(0:0:0) 		176 		 0 		125 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0339058 	0.0011632 	0.000173081
Blazed 	1.2(0:0:0) 		176 		 0 		130 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0363974 	0.00114413 	0.000172032
Blazed 	1.2(0:0:0) 		176 		 0 		135 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0405066 	0.0011077 	0.000177719
Blazed 	1.2(0:0:0) 		176 		 0 		140 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0417479 	0.00104138 	0.000186876
Blazed 	1.2(0:0:0) 		176 		 0 		145 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.043116 	0.00100102 	0.000192346
Blazed 	1.2(0:0:0) 		176 		 0 		150 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0451703 	0.000962641 	0.000200141
Blazed 	1.2(0:0:0) 		176 		 0 		155 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0473977 	0.000918939 	0.000213456
Blazed 	1.2(0:0:0) 		176 		 0 		160 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0482537 	0.0008898 	0.000219978
Blazed 	1.2(0:0:0) 		176 		 0 		165 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0509148 	0.000855898 	0.000230762
Blazed 	1.2(0:0:0) 		176 		 0 		170 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.055206 	0.000808391 	0.000255492
Blazed 	1.2(0:0:0) 		176 		 0 		175 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0587006 	0.00076876 	0.000292492
Blazed 	1.2(0:0:0) 		176 		 0 		180 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.05975 	0.000765624 	0.000318472
Blazed 	1.2(0:0:0) 		176 		 0 		185 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.061037 	0.000767771 	0.00034
Blazed 	1.2(0:0:0) 		176 		 0 		190 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0624605 	0.000780955 	0.000364166
Blazed 	1.2(0:0:0) 		176 		 0 		195 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0638155 	0.000805896 	0.000388662
Blazed 	1.2(0:0:0) 		176 		 0 		200 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0650463 	0.000842714 	0.000412916
Blazed 	1.2(0:0:0) 		176 		 0 		205 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0660049 	0.000890999 	0.000435532
Blazed 	1.2(0:0:0) 		176 		 0 		210 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0669774 	0.000947202 	0.000458266
Blazed 	1.2(0:0:0) 		176 		 0 		215 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0679129 	0.00101383 	0.000481504
Blazed 	1.2(0:0:0) 		176 		 0 		220 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0688385 	0.00108794 	0.000505041
Blazed 	1.2(0:0:0) 		176 		 0 		225 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696882 	0.00117536 	0.000529616
Blazed 	1.2(0:0:0) 		176 		 0 		230 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0704043 	0.00127547 	0.000554637
Blazed 	1.2(0:0:0) 		176 		 0 		235 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0709362 	0.0013815 	0.00057839
Blazed 	1.2(0:0:0) 		176 		 0 		240 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0713354 	0.00149114 	0.00060045
Blazed 	1.2(0:0:0) 		176 		 0 		245 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716608 	0.00160787 	0.000621041
Blazed 	1.2(0:0:0) 		176 		 0 		250 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719587 	0.00172962 	0.000639354
Blazed 	1.2(0:0:0) 		176 		 0 		255 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720887 	0.001853 	0.000653113
Blazed 	1.2(0:0:0) 		176 		 0 		260 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720809 	0.00197868 	0.000662622
Blazed 	1.2(0:0:0) 		176 		 0 		265 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0721495 	0.00210967 	0.000671061
Blazed 	1.2(0:0:0) 		176 		 0 		270 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720647 	0.00222913 	0.00067585
Blazed 	1.2(0:0:0) 		176 		 0 		275 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719726 	0.0023477 	0.000681755
Blazed 	1.2(0:0:0) 		176 		 0 		280 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718774 	0.00245826 	0.000689694
Blazed 	1.2(0:0:0) 		176 		 0 		285 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718498 	0.00257034 	0.000701816
Blazed 	1.2(0:0:0) 		176 		 0 		290 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716118 	0.00266713 	0.000713593
Blazed 	1.2(0:0:0) 		176 		 0 		295 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714484 	0.00276557 	0.000726699
Blazed 	1.2(0:0:0) 		176 		 0 		300 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714449 	0.0028637 	0.000737721
