Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0182757 	0.0010281 	0.00017875
Blazed 	1.2(0:0:0) 		176 		 0 		105 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0260157 	0.00110224 	0.000189464
Blazed 	1.2(0:0:0) 		176 		 0 		110 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0265195 	0.00111214 	0.000185192
Blazed 	1.2(0:0:0) 		176 		 0 		115 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0276819 	0.00112724 	0.000179581
Blazed 	1.2(0:0:0) 		176 		 0 		120 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0308971 	0.00117007 	0.000174565
Blazed 	1.2(0:0:0) 		176 		 0 		125 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0339058 	0.00116322 	0.000173062
Blazed 	1.2(0:0:0) 		176 		 0 		130 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0363974 	0.00114413 	0.000171986
Blazed 	1.2(0:0:0) 		176 		 0 		135 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0405064 	0.00110768 	0.000177649
Blazed 	1.2(0:0:0) 		176 		 0 		140 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0417476 	0.00104134 	0.000186802
Blazed 	1.2(0:0:0) 		176 		 0 		145 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0431159 	0.00100099 	0.000192372
Blazed 	1.2(0:0:0) 		176 		 0 		150 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0451704 	0.000962637 	0.000200245
Blazed 	1.2(0:0:0) 		176 		 0 		155 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.047398 	0.000918943 	0.000213605
Blazed 	1.2(0:0:0) 		176 		 0 		160 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.048254 	0.000889797 	0.000220074
Blazed 	1.2(0:0:0) 		176 		 0 		165 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.050915 	0.000855895 	0.000230784
Blazed 	1.2(0:0:0) 		176 		 0 		170 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.055206 	0.000808376 	0.000255483
Blazed 	1.2(0:0:0) 		176 		 0 		175 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0587005 	0.000768721 	0.000292432
Blazed 	1.2(0:0:0) 		176 		 0 		180 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0597496 	0.000765599 	0.000318275
Blazed 	1.2(0:0:0) 		176 		 0 		185 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0610366 	0.000767799 	0.000339733
Blazed 	1.2(0:0:0) 		176 		 0 		190 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0624603 	0.000781047 	0.000363906
Blazed 	1.2(0:0:0) 		176 		 0 		195 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0638156 	0.000806025 	0.000388511
Blazed 	1.2(0:0:0) 		176 		 0 		200 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0650467 	0.000842824 	0.000412947
Blazed 	1.2(0:0:0) 		176 		 0 		205 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0660054 	0.000891027 	0.000435787
Blazed 	1.2(0:0:0) 		176 		 0 		210 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0669779 	0.000947118 	0.000458713
Blazed 	1.2(0:0:0) 		176 		 0 		215 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0679132 	0.00101364 	0.00048207
Blazed 	1.2(0:0:0) 		176 		 0 		220 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0688385 	0.0010877 	0.000505624
Blazed 	1.2(0:0:0) 		176 		 0 		225 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.069688 	0.00117514 	0.00053005
Blazed 	1.2(0:0:0) 		176 		 0 		230 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.070404 	0.00127539 	0.000554727
Blazed 	1.2(0:0:0) 		176 		 0 		235 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0709359 	0.00138164 	0.000577951
Blazed 	1.2(0:0:0) 		176 		 0 		240 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0713354 	0.0014915 	0.000599386
Blazed 	1.2(0:0:0) 		176 		 0 		245 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716608 	0.00160832 	0.000619539
Blazed 	1.2(0:0:0) 		176 		 0 		250 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719587 	0.00172996 	0.000637824
Blazed 	1.2(0:0:0) 		176 		 0 		255 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720884 	0.00185302 	0.00065206
Blazed 	1.2(0:0:0) 		176 		 0 		260 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720798 	0.00197822 	0.000662577
Blazed 	1.2(0:0:0) 		176 		 0 		265 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0721478 	0.00210878 	0.000672283
Blazed 	1.2(0:0:0) 		176 		 0 		270 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720627 	0.0022281 	0.000678164
Blazed 	1.2(0:0:0) 		176 		 0 		275 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719707 	0.00234689 	0.000684566
Blazed 	1.2(0:0:0) 		176 		 0 		280 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718763 	0.00245807 	0.000692225
Blazed 	1.2(0:0:0) 		176 		 0 		285 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0718499 	0.00257105 	0.000703327
Blazed 	1.2(0:0:0) 		176 		 0 		290 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0716138 	0.00266894 	0.000713364
Blazed 	1.2(0:0:0) 		176 		 0 		295 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714525 	0.00276831 	0.000724503
Blazed 	1.2(0:0:0) 		176 		 0 		300 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0714508 	0.00286679 	0.000733956
Blazed 	1.2(0:0:0) 		176 		 0 		305 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712125 	0.00296717 	0.000736939
Blazed 	1.2(0:0:0) 		176 		 0 		310 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711387 	0.00306774 	0.000732912
Blazed 	1.2(0:0:0) 		176 		 0 		315 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712263 	0.00316733 	0.000721819
Blazed 	1.2(0:0:0) 		176 		 0 		320 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711054 	0.003266 	0.000700999
Blazed 	1.2(0:0:0) 		176 		 0 		325 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0711579 	0.00335179 	0.000677931
Blazed 	1.2(0:0:0) 		176 		 0 		330 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0712011 	0.00342544 	0.000655449
Blazed 	1.2(0:0:0) 		176 		 0 		335 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.071215 	0.00347335 	0.000638138
