Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.018275 	0.00102783 	0.000178493
Blazed 	1.2(0:0:0) 		176 		 0 		105 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0260163 	0.00110225 	0.000188897
Blazed 	1.2(0:0:0) 		176 		 0 		110 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0265185 	0.00111174 	0.00018476
Blazed 	1.2(0:0:0) 		176 		 0 		115 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0276809 	0.00112696 	0.000179602
Blazed 	1.2(0:0:0) 		176 		 0 		120 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0308967 	0.00116997 	0.00017468
Blazed 	1.2(0:0:0) 		176 		 0 		125 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0339058 	0.0011632 	0.000173227
Blazed 	1.2(0:0:0) 		176 		 0 		130 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0363978 	0.00114421 	0.000172156
Blazed 	1.2(0:0:0) 		176 		 0 		135 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.040507 	0.00110779 	0.000177829
Blazed 	1.2(0:0:0) 		176 		 0 		140 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0417484 	0.00104148 	0.000186885
Blazed 	1.2(0:0:0) 		176 		 0 		145 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.043116 	0.00100105 	0.000192193
Blazed 	1.2(0:0:0) 		176 		 0 		150 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.04517 	0.000962616 	0.000199942
Blazed 	1.2(0:0:0) 		176 		 0 		155 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0473972 	0.000918894 	0.000213277
