Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0587049 	0.00454526 	0.000361427
Blazed 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0628951 	0.00442423 	0.000280791
Blazed 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0669767 	0.00424956 	0.000204724
Blazed 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0708584 	0.00401944 	0.000137456
Blazed 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0743928 	0.00373205 	8.39848E-05
Blazed 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0771332 	0.0033707 	5.00625E-05
Blazed 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0789013 	0.00298525 	4.09646E-05
Blazed 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0802068 	0.00261096 	5.0662E-05
Blazed 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0811571 	0.00226353 	7.36244E-05
Blazed 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.081263 	0.00193577 	0.000104715
Blazed 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0809595 	0.00166067 	0.00013535
Blazed 	1.2(0:0:0) 		176 		 0 		155 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0801695 	0.0014364 	0.000161143
Blazed 	1.2(0:0:0) 		176 		 0 		160 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0793867 	0.00126314 	0.000181232
Blazed 	1.2(0:0:0) 		176 		 0 		165 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0784396 	0.00112873 	0.000195386
Blazed 	1.2(0:0:0) 		176 		 0 		170 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0779068 	0.00102768 	0.000205494
Blazed 	1.2(0:0:0) 		176 		 0 		175 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0779283 	0.000943225 	0.000215498
Blazed 	1.2(0:0:0) 		176 		 0 		180 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0783261 	0.000866069 	0.000227009
Blazed 	1.2(0:0:0) 		176 		 0 		185 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0791033 	0.000794607 	0.000240371
Blazed 	1.2(0:0:0) 		176 		 0 		190 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0805049 	0.000724227 	0.000258943
Blazed 	1.2(0:0:0) 		176 		 0 		195 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0819579 	0.000652852 	0.000281968
Blazed 	1.2(0:0:0) 		176 		 0 		200 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.0833312 	0.000585367 	0.000306628
