Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.053922 	0.00296431 	error
Blazed 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0585511 	0.00297546 	error
Blazed 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0630206 	0.00295116 	error
Blazed 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0673915 	0.00289816 	error
Blazed 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.071721 	0.00282028 	error
Blazed 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0760214 	0.00271985 	error
Blazed 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0805235 	0.00260648 	error
Blazed 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0846203 	0.0024457 	error
Blazed 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0878579 	0.00223798 	error
Blazed 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0905849 	0.0019989 	error
Blazed 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0923157 	0.0017323 	error
Blazed 	1.2(0:0:0) 		176 		 0 		155 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0935329 	0.00146489 	error
Blazed 	1.2(0:0:0) 		176 		 0 		160 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0934481 	0.00119595 	error
Blazed 	1.2(0:0:0) 		176 		 0 		165 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0924849 	0.000974362 	error
Blazed 	1.2(0:0:0) 		176 		 0 		170 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0906501 	0.000804637 	error
Blazed 	1.2(0:0:0) 		176 		 0 		175 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0877274 	0.000705157 	error
Blazed 	1.2(0:0:0) 		176 		 0 		180 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0849657 	0.000655403 	error
Blazed 	1.2(0:0:0) 		176 		 0 		185 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0824337 	0.000629374 	error
Blazed 	1.2(0:0:0) 		176 		 0 		190 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0802953 	0.00061287 	error
Blazed 	1.2(0:0:0) 		176 		 0 		195 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0786464 	0.000597572 	error
Blazed 	1.2(0:0:0) 		176 		 0 		200 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0777321 	0.00057882 	error
Blazed 	1.2(0:0:0) 		176 		 0 		205 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0774507 	0.00055604 	error
Blazed 	1.2(0:0:0) 		176 		 0 		210 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0777273 	0.000530091 	error
Blazed 	1.2(0:0:0) 		176 		 0 		215 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0789305 	0.000500901 	error
Blazed 	1.2(0:0:0) 		176 		 0 		220 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0802477 	0.000473945 	error
Blazed 	1.2(0:0:0) 		176 		 0 		225 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0815548 	0.000449283 	error
Blazed 	1.2(0:0:0) 		176 		 0 		230 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0831197 	0.000426862 	error
Blazed 	1.2(0:0:0) 		176 		 0 		235 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0849728 	0.000408358 	error
Blazed 	1.2(0:0:0) 		176 		 0 		240 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0868375 	0.000395633 	error
Blazed 	1.2(0:0:0) 		176 		 0 		245 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.08871 	0.000388424 	error
Blazed 	1.2(0:0:0) 		176 		 0 		250 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0907735 	0.000387384 	error
Blazed 	1.2(0:0:0) 		176 		 0 		255 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0929442 	0.000394903 	error
Blazed 	1.2(0:0:0) 		176 		 0 		260 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0950304 	0.000410935 	error
Blazed 	1.2(0:0:0) 		176 		 0 		265 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0971417 	0.000435464 	error
Blazed 	1.2(0:0:0) 		176 		 0 		270 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.0993678 	0.000469558 	error
Blazed 	1.2(0:0:0) 		176 		 0 		275 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.101792 	0.000515916 	error
Blazed 	1.2(0:0:0) 		176 		 0 		280 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.104143 	0.000575473 	error
Blazed 	1.2(0:0:0) 		176 		 0 		285 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.106251 	0.000645585 	error
Blazed 	1.2(0:0:0) 		176 		 0 		290 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.108263 	0.000726434 	error
Blazed 	1.2(0:0:0) 		176 		 0 		295 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.110238 	0.000818778 	error
Blazed 	1.2(0:0:0) 		176 		 0 		300 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.1122 	0.00092326 	error
Blazed 	1.2(0:0:0) 		176 		 0 		305 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.114177 	0.00104069 	error
Blazed 	1.2(0:0:0) 		176 		 0 		310 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.116231 	0.00117269 	error
Blazed 	1.2(0:0:0) 		176 		 0 		315 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.118262 	0.00132032 	error
Blazed 	1.2(0:0:0) 		176 		 0 		320 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.120188 	0.00148099 	error
