Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Rectangular 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.867999 	0.0367017 	0.00205606 	0.00370628
Rectangular 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.864586 	0.0392103 	0.00229916 	0.00391264
Rectangular 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.860852 	0.0416835 	0.00255405 	0.00411136
Rectangular 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.856634 	0.0440738 	0.00281443 	0.00429537
Rectangular 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.851582 	0.0462982 	0.00306599 	0.00445168
Rectangular 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.84437 	0.0481101 	0.00326172 	0.00453695
Rectangular 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.83355 	0.0492845 	0.00335235 	0.00450144
Rectangular 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.82158 	0.0501653 	0.00339086 	0.00440283
Rectangular 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.808836 	0.0508008 	0.00338287 	0.00426055
Rectangular 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.793701 	0.0508915 	0.00327401 	0.00404406
Rectangular 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.77711 	0.0506542 	0.00310954 	0.00381794
Rectangular 	1.2(0:0:0) 		176 		 0 		155 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.758639 	0.0500391 	0.00289631 	0.00358629
Rectangular 	1.2(0:0:0) 		176 		 0 		160 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.739826 	0.049347 	0.00269634 	0.00338848
Rectangular 	1.2(0:0:0) 		176 		 0 		165 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.719971 	0.0484684 	0.00249899 	0.0032055
Rectangular 	1.2(0:0:0) 		176 		 0 		170 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.700776 	0.0477426 	0.00235337 	0.00306909
Rectangular 	1.2(0:0:0) 		176 		 0 		175 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.683305 	0.0473132 	0.00226451 	0.0029773
Rectangular 	1.2(0:0:0) 		176 		 0 		180 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.667345 	0.0471058 	0.0022126 	0.00291291
Rectangular 	1.2(0:0:0) 		176 		 0 		185 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.652742 	0.047107 	0.00219349 	0.00287228
Rectangular 	1.2(0:0:0) 		176 		 0 		190 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.640645 	0.0474901 	0.00222223 	0.00286641
Rectangular 	1.2(0:0:0) 		176 		 0 		195 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.629686 	0.0479589 	0.00225797 	0.00286455
