Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Sinusoidal 	1.2(0:0:0) 		176 		 0 		100 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.867879 	0.0477425 	0.00555476 	0.000471081
Sinusoidal 	1.2(0:0:0) 		176 		 0 		105 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.863761 	0.0510625 	0.00624948 	0.000557287
Sinusoidal 	1.2(0:0:0) 		176 		 0 		110 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.859247 	0.054336 	0.00697384 	0.000651833
Sinusoidal 	1.2(0:0:0) 		176 		 0 		115 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.854154 	0.0575021 	0.00771413 	0.00075318
Sinusoidal 	1.2(0:0:0) 		176 		 0 		120 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.84812 	0.0604507 	0.00844415 	0.000857722
Sinusoidal 	1.2(0:0:0) 		176 		 0 		125 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.839843 	0.0628321 	0.00908277 	0.00095354
Sinusoidal 	1.2(0:0:0) 		176 		 0 		130 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.828117 	0.0643329 	0.00955431 	0.00102917
Sinusoidal 	1.2(0:0:0) 		176 		 0 		135 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.81529 	0.0654365 	0.00994444 	0.00109418
Sinusoidal 	1.2(0:0:0) 		176 		 0 		140 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.801741 	0.0662214 	0.010264 	0.00114973
Sinusoidal 	1.2(0:0:0) 		176 		 0 		145 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.785921 	0.0662744 	0.0104121 	0.00118137
Sinusoidal 	1.2(0:0:0) 		176 		 0 		150 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.768834 	0.0658757 	0.0104566 	0.00120084
Sinusoidal 	1.2(0:0:0) 		176 		 0 		155 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.750102 	0.0649419 	0.0103843 	0.00120707
Sinusoidal 	1.2(0:0:0) 		176 		 0 		160 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.7312 	0.0638856 	0.0102992 	0.00121493
Sinusoidal 	1.2(0:0:0) 		176 		 0 		165 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.711451 	0.062562 	0.0101728 	0.00121992
Sinusoidal 	1.2(0:0:0) 		176 		 0 		170 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.692476 	0.0614468 	0.0101199 	0.00123857
Sinusoidal 	1.2(0:0:0) 		176 		 0 		175 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.675216 	0.0607414 	0.0101743 	0.00127457
Sinusoidal 	1.2(0:0:0) 		176 		 0 		180 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.659423 	0.0603428 	0.0103046 	0.00132302
Sinusoidal 	1.2(0:0:0) 		176 		 0 		185 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.644959 	0.0602326 	0.01051 	0.00138479
Sinusoidal 	1.2(0:0:0) 		176 		 0 		190 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.632877 	0.0606485 	0.0108441 	0.00146842
Sinusoidal 	1.2(0:0:0) 		176 		 0 		195 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.621823 	0.061181 	0.0112018 	0.00155704
Sinusoidal 	1.2(0:0:0) 		176 		 0 		200 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.610806 	0.0616458 	0.0115501 	0.00164678
Sinusoidal 	1.2(0:0:0) 		176 		 0 		205 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.599928 	0.0620826 	0.0119001 	0.00173968
Sinusoidal 	1.2(0:0:0) 		176 		 0 		210 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.589435 	0.0625888 	0.0122814 	0.00184161
Sinusoidal 	1.2(0:0:0) 		176 		 0 		215 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.580156 	0.0633607 	0.0127424 	0.00196096
