Optimizing GRoove DEpth:
Original grating Efficiency:

Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.013 	0.41666666666667 	na 	na  	0.390156 	0.0652031 	0.00830195 	0.00602146



Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0129 	0.41666666666667 	na 	na  	0.390612 	0.0659082 	0.00837118 	0.00599785
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0128 	0.41666666666667 	na 	na  	0.391112 	0.0666079 	0.00843481 	0.00597199
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0127 	0.41666666666667 	na 	na  	0.391657 	0.0673012 	0.00849274 	0.00594401
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0126 	0.41666666666667 	na 	na  	0.392246 	0.0679872 	0.00854486 	0.00591406
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0125 	0.41666666666667 	na 	na  	0.392882 	0.0686646 	0.00859107 	0.00588228
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0124 	0.41666666666667 	na 	na  	0.393564 	0.0693326 	0.00863129 	0.00584881
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0123 	0.41666666666667 	na 	na  	0.394293 	0.0699901 	0.00866546 	0.0058138
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0122 	0.41666666666667 	na 	na  	0.395071 	0.070636 	0.0086935 	0.00577741
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0121 	0.41666666666667 	na 	na  	0.395896 	0.0712693 	0.00871536 	0.00573977
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.012 	0.41666666666667 	na 	na  	0.396771 	0.071889 	0.00873101 	0.00570103
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0119 	0.41666666666667 	na 	na  	0.397695 	0.0724939 	0.00874042 	0.00566135
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0118 	0.41666666666667 	na 	na  	0.39867 	0.0730832 	0.00874356 	0.00562085
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0117 	0.41666666666667 	na 	na  	0.399695 	0.0736558 	0.00874044 	0.00557969
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0116 	0.41666666666667 	na 	na  	0.400771 	0.0742106 	0.00873105 	0.005538
Rectangular 	1.2(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.1 	0.0115 	0.41666666666667 	na 	na  	0.401898 	0.0747467 	0.00871541 	0.00549591
