Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	0.6(0:0:0) 		176 		 0 		100 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.80705 	0.102827 	0.00744741 	0.000506049
Blazed 	0.6(0:0:0) 		176 		 0 		105 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.800066 	0.110201 	0.00719193 	0.000369393
Blazed 	0.6(0:0:0) 		176 		 0 		110 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.792811 	0.117485 	0.00686742 	0.000248156
Blazed 	0.6(0:0:0) 		176 		 0 		115 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.785141 	0.124558 	0.00647453 	0.000146894
Blazed 	0.6(0:0:0) 		176 		 0 		120 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.776744 	0.131223 	0.00601269 	7.0174E-05
Blazed 	0.6(0:0:0) 		176 		 0 		125 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.766453 	0.136894 	0.00546467 	2.23827E-05
Blazed 	0.6(0:0:0) 		176 		 0 		130 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.752934 	0.141212 	0.00486708 	7.37751E-06
Blazed 	0.6(0:0:0) 		176 		 0 		135 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.738453 	0.144884 	0.00427162 	2.24527E-05
Blazed 	0.6(0:0:0) 		176 		 0 		140 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.723346 	0.148034 	0.00369772 	6.39646E-05
Blazed 	0.6(0:0:0) 		176 		 0 		145 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.706189 	0.149977 	0.00313612 	0.000126874
Blazed 	0.6(0:0:0) 		176 		 0 		150 	SiO2.idx 	Pt.idx 			0.05 	na 	na 	0.93 	90 	  	0.68782 	0.151206 	0.0026238 	0.000203441
