Optimizing Blaze Angle:
Original grating Efficiency:

Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	1.01 	60  	0.240782 	0.259087 	0.0569102 	0.00380893



Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	1 	60  	0.24392 	0.259894 	0.0539169 	0.0041154
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.99 	60  	0.247111 	0.260603 	0.0509709 	0.00441011
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.98 	60  	0.250355 	0.261209 	0.048077 	0.00469032
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.97 	60  	0.253652 	0.261709 	0.0452399 	0.00495352
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.96 	60  	0.257004 	0.262101 	0.042464 	0.0051974
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.95 	60  	0.26041 	0.262382 	0.0397538 	0.00541991
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.94 	60  	0.26387 	0.262549 	0.0371134 	0.00561922
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.93 	60  	0.267386 	0.262599 	0.0345467 	0.00579377
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.92 	60  	0.270958 	0.262531 	0.0320576 	0.00594224
Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.94 	60  	0.26387 	0.262549 	0.0371134 	0.00561922


Optimized Blaze angle:Blazed 	0.6(0:0:0) 	176 	0 	400 	SiO2.idx 	Pt.idx 	0.05 	na 	na 	0.93 	60  	0.267386 	0.262599 	0.0345467 	0.00579377

