Optimizing GRoove DEpth:
Original grating Efficiency:

Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.005 	na 	na 	na  	0.792522 	0.0292427 	0.00152557 	5.63287E-5



Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.004 	na 	na 	na  	0.807288 	0.0195135 	0.000653344 	1.54935E-5
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.006 	na 	na 	na  	0.77519 	0.040006 	0.00299473 	0.00015887
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.007 	na 	na 	na  	0.755691 	0.0512393 	0.00519772 	0.000374662
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.008 	na 	na 	na  	0.734471 	0.0623691 	0.00821887 	0.000772612
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.009 	na 	na 	na  	0.712008 	0.0728479 	0.01207 	0.00143387
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.01 	na 	na 	na  	0.688799 	0.0821885 	0.0166781 	0.00244217
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.011 	na 	na 	na  	0.665342 	0.0899931 	0.0218837 	0.00387049
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.012 	na 	na 	na  	0.642122 	0.0959763 	0.0274495 	0.00576579
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.013 	na 	na 	na  	0.61959 	0.0999793 	0.0330794 	0.00813438
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.014 	na 	na 	na  	0.598154 	0.101974 	0.038446 	0.0109308
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.015 	na 	na 	na  	0.578157 	0.10206 	0.043223 	0.0140524
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.016 	na 	na 	na  	0.559874 	0.100446 	0.0471192 	0.0173427
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.017 	na 	na 	na  	0.543501 	0.0974301 	0.0499079 	0.020601
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.018 	na 	na 	na  	0.529142 	0.0933699 	0.0514557 	0.0236066
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.019 	na 	na 	na  	0.516828 	0.0886509 	0.0517289 	0.0261368
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.02 	na 	na 	na  	0.506531 	0.083634 	0.0507784 	0.027991
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.021 	na 	na 	na  	0.498065 	0.0787239 	0.0488361 	0.0290555
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.022 	na 	na 	na  	0.491321 	0.0741602 	0.046087 	0.0292371
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.023 	na 	na 	na  	0.486062 	0.0701748 	0.04284 	0.0285632


Optimized Groove depth:Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.022 	na 	na 	na  	0.491321 	0.0741602 	0.046087 	0.0292371


Optimizing GRoove DEpth:
Original grating Efficiency:

Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.022 	na 	na 	na  	0.491321 	0.0741602 	0.046087 	0.0292371



Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.0219 	na 	na 	na  	0.491924 	0.0745935 	0.0463893 	0.0292584
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.0218 	na 	na 	na  	0.492543 	0.0750324 	0.0466864 	0.029271
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.0217 	na 	na 	na  	0.493177 	0.0754769 	0.0469778 	0.0292749
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.0216 	na 	na 	na  	0.493827 	0.0759266 	0.0472633 	0.0292701
Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.0218 	na 	na 	na  	0.492543 	0.0750324 	0.0466864 	0.029271


Optimized Groove depth:Sinusoidal 	1.8(0:0:0) 	176 	0 	280 	SiO2.idx 	Ni.idx 	0.02 	0.0217 	na 	na 	na  	0.493177 	0.0754769 	0.0469778 	0.0292749

