Scan: U=0.14 #0
Date: 2012 07 17 04:10:12
Sample: [no sample]
Facility: CLS REIXS Beamline

xesSpectrum.X	xesSpectrum	
==========
381.961	0	
381.977	0	
381.993	0	
382.009	0	
382.025	0	
382.04	0	
382.056	0	
382.072	0	
382.088	0	
382.103	0	
382.119	0	
382.135	0	
382.151	0	
382.167	0	
382.182	0	
382.198	0	
382.214	0	
382.23	0	
382.245	0	
382.261	0	
382.277	0	
382.293	0	
382.309	0	
382.324	0	
382.34	0	
382.356	0	
382.372	0	
382.388	0	
382.403	3	
382.419	27	
382.435	25	
382.451	40	
382.467	42	
382.482	45	
382.498	47	
382.514	33	
382.53	32	
382.546	40	
382.562	26	
382.577	33	
382.593	39	
382.609	46	
382.625	37	
382.641	27	
382.657	49	
382.672	53	
382.688	57	
382.704	69	
382.72	41	
382.736	55	
382.752	36	
382.767	41	
382.783	53	
382.799	58	
382.815	47	
382.831	48	
382.847	49	
382.862	55	
382.878	50	
382.894	52	
382.91	62	
382.926	47	
382.942	54	
382.958	50	
382.973	62	
382.989	55	
383.005	63	
383.021	72	
383.037	48	
383.053	55	
383.069	55	
383.085	60	
383.1	58	
383.116	63	
383.132	56	
383.148	48	
383.164	56	
383.18	78	
383.196	51	
383.212	60	
383.228	57	
383.243	67	
383.259	62	
383.275	61	
383.291	71	
383.307	63	
383.323	64	
383.339	45	
383.355	69	
383.371	81	
383.387	59	
383.402	76	
383.418	75	
383.434	74	
383.45	80	
383.466	62	
383.482	70	
383.498	69	
383.514	65	
383.53	65	
383.546	74	
383.562	62	
383.578	66	
383.593	64	
383.609	56	
383.625	74	
383.641	72	
383.657	69	
383.673	59	
383.689	75	
383.705	52	
383.721	75	
383.737	65	
383.753	62	
383.769	58	
383.785	67	
383.801	70	
383.817	80	
383.833	80	
383.849	74	
383.865	89	
383.88	58	
383.896	66	
383.912	83	
383.928	61	
383.944	80	
383.96	71	
383.976	83	
383.992	81	
384.008	62	
384.024	81	
384.04	79	
384.056	81	
384.072	88	
384.088	56	
384.104	71	
384.12	70	
384.136	65	
384.152	68	
384.168	67	
384.184	71	
384.2	63	
384.216	76	
384.232	78	
384.248	63	
384.264	93	
384.28	63	
384.296	74	
384.312	64	
384.328	60	
384.344	78	
384.36	64	
384.376	75	
384.392	82	
384.408	59	
384.424	84	
384.44	69	
384.456	77	
384.472	68	
384.488	79	
384.504	70	
384.52	71	
384.536	64	
384.552	87	
384.568	71	
384.584	73	
384.6	92	
384.616	87	
384.632	85	
384.648	74	
384.664	62	
384.68	89	
384.697	88	
384.713	85	
384.729	87	
384.745	87	
384.761	86	
384.777	76	
384.793	89	
384.809	82	
384.825	79	
384.841	80	
384.857	95	
384.873	87	
384.889	86	
384.905	76	
384.921	88	
384.937	82	
384.953	92	
384.97	102	
384.986	86	
385.002	82	
385.018	96	
385.034	107	
385.05	85	
385.066	86	
385.082	91	
385.098	64	
385.114	86	
385.13	94	
385.146	69	
385.163	73	
385.179	85	
385.195	82	
385.211	93	
385.227	83	
385.243	83	
385.259	71	
385.275	70	
385.291	97	
385.307	94	
385.324	100	
385.34	96	
385.356	92	
385.372	89	
385.388	94	
385.404	80	
385.42	58	
385.436	89	
385.452	84	
385.469	84	
385.485	78	
385.501	78	
385.517	81	
385.533	89	
385.549	89	
385.565	89	
385.581	78	
385.598	98	
385.614	88	
385.63	83	
385.646	76	
385.662	96	
385.678	71	
385.694	86	
385.711	80	
385.727	91	
385.743	102	
385.759	91	
385.775	89	
385.791	88	
385.808	87	
385.824	88	
385.84	78	
385.856	83	
385.872	98	
385.888	101	
385.905	86	
385.921	91	
385.937	95	
385.953	87	
385.969	98	
385.985	79	
386.002	84	
386.018	86	
386.034	80	
386.05	104	
386.066	90	
386.082	87	
386.099	92	
386.115	107	
386.131	96	
386.147	86	
386.163	95	
386.18	100	
386.196	99	
386.212	111	
386.228	102	
386.244	87	
386.261	93	
386.277	115	
386.293	106	
386.309	97	
386.326	97	
386.342	104	
386.358	98	
386.374	112	
386.39	92	
386.407	106	
386.423	103	
386.439	94	
386.455	118	
386.471	115	
386.488	101	
386.504	121	
386.52	110	
386.536	106	
386.553	112	
386.569	117	
386.585	118	
386.601	117	
386.618	137	
386.634	112	
386.65	105	
386.666	120	
386.683	117	
386.699	129	
386.715	130	
386.731	105	
386.748	110	
386.764	123	
386.78	112	
386.796	129	
386.813	126	
386.829	105	
386.845	123	
386.861	129	
386.878	107	
386.894	117	
386.91	116	
386.927	121	
386.943	129	
386.959	131	
386.975	139	
386.992	126	
387.008	120	
387.024	134	
387.041	126	
387.057	134	
387.073	131	
387.089	139	
387.106	133	
387.122	122	
387.138	129	
387.155	136	
387.171	145	
387.187	130	
387.204	100	
387.22	144	
387.236	140	
387.252	146	
387.269	117	
387.285	150	
387.301	131	
387.318	158	
387.334	143	
387.35	109	
387.367	116	
387.383	144	
387.399	126	
387.416	135	
387.432	133	
387.448	140	
387.465	142	
387.481	135	
387.497	141	
387.514	129	
387.53	139	
387.546	150	
387.563	142	
387.579	148	
387.595	143	
387.612	153	
387.628	138	
387.644	136	
387.661	122	
387.677	128	
387.693	141	
387.71	151	
387.726	150	
387.743	115	
387.759	132	
387.775	152	
387.792	109	
387.808	131	
387.824	131	
387.841	127	
387.857	143	
387.873	150	
387.89	153	
387.906	126	
387.923	132	
387.939	161	
387.955	153	
387.972	159	
387.988	142	
388.005	146	
388.021	130	
388.037	146	
388.054	154	
388.07	142	
388.087	139	
388.103	138	
388.119	137	
388.136	131	
388.152	139	
388.169	139	
388.185	137	
388.201	126	
388.218	139	
388.234	133	
388.251	134	
388.267	126	
388.283	147	
388.3	125	
388.316	150	
388.333	131	
388.349	123	
388.366	139	
388.382	145	
388.398	130	
388.415	127	
388.431	130	
388.448	145	
388.464	137	
388.481	140	
388.497	140	
388.513	145	
388.53	143	
388.546	145	
388.563	151	
388.579	152	
388.596	152	
388.612	159	
388.629	145	
388.645	149	
388.662	136	
388.678	156	
388.694	136	
388.711	140	
388.727	147	
388.744	136	
388.76	150	
388.777	155	
388.793	136	
388.81	149	
388.826	132	
388.843	147	
388.859	131	
388.876	162	
388.892	159	
388.909	158	
388.925	133	
388.942	157	
388.958	146	
388.975	150	
388.991	141	
389.008	135	
389.024	140	
389.041	175	
389.057	148	
389.074	152	
389.09	154	
389.107	170	
389.123	159	
389.14	164	
389.156	132	
389.173	175	
389.189	166	
389.206	173	
389.222	151	
389.239	172	
389.255	154	
389.272	178	
389.288	173	
389.305	151	
389.321	158	
389.338	175	
389.354	161	
389.371	165	
389.387	172	
389.404	192	
389.42	187	
389.437	161	
389.454	171	
389.47	180	
389.487	176	
389.503	165	
389.52	189	
389.536	181	
389.553	186	
389.569	192	
389.586	197	
389.602	177	
389.619	186	
389.636	194	
389.652	182	
389.669	198	
389.685	187	
389.702	170	
389.718	187	
389.735	172	
389.752	172	
389.768	172	
389.785	165	
389.801	178	
389.818	180	
389.834	169	
389.851	178	
389.868	145	
389.884	152	
389.901	178	
389.917	185	
389.934	175	
389.951	172	
389.967	173	
389.984	139	
390	177	
390.017	137	
390.034	149	
390.05	165	
390.067	164	
390.083	148	
390.1	137	
390.117	171	
390.133	154	
390.15	151	
390.166	150	
390.183	152	
390.2	173	
390.216	147	
390.233	151	
390.25	140	
390.266	163	
390.283	178	
390.299	151	
390.316	132	
390.333	174	
390.349	122	
390.366	155	
390.383	146	
390.399	153	
390.416	146	
390.433	165	
390.449	170	
390.466	164	
390.483	174	
390.499	152	
390.516	151	
390.532	145	
390.549	179	
390.566	156	
390.582	140	
390.599	159	
390.616	176	
390.632	167	
390.649	132	
390.666	177	
390.682	157	
390.699	151	
390.716	151	
390.732	145	
390.749	153	
390.766	174	
390.783	178	
390.799	164	
390.816	162	
390.833	169	
390.849	161	
390.866	184	
390.883	168	
390.899	200	
390.916	167	
390.933	187	
390.949	178	
390.966	219	
390.983	204	
391	198	
391.016	210	
391.033	210	
391.05	240	
391.066	220	
391.083	224	
391.1	216	
391.117	213	
391.133	216	
391.15	227	
391.167	263	
391.183	251	
391.2	262	
391.217	240	
391.234	282	
391.25	253	
391.267	264	
391.284	244	
391.301	264	
391.317	246	
391.334	271	
391.351	286	
391.367	270	
391.384	297	
391.401	275	
391.418	295	
391.434	285	
391.451	273	
391.468	265	
391.485	280	
391.502	232	
391.518	258	
391.535	248	
391.552	277	
391.569	277	
391.585	243	
391.602	237	
391.619	260	
391.636	233	
391.652	245	
391.669	208	
391.686	231	
391.703	214	
391.72	201	
391.736	209	
391.753	205	
391.77	216	
391.787	180	
391.803	209	
391.82	183	
391.837	193	
391.854	195	
391.871	171	
391.887	145	
391.904	168	
391.921	204	
391.938	185	
391.955	154	
391.971	142	
391.988	126	
392.005	159	
392.022	137	
392.039	125	
392.056	144	
392.072	126	
392.089	156	
392.106	145	
392.123	124	
392.14	118	
392.156	151	
392.173	112	
392.19	124	
392.207	132	
392.224	115	
392.241	132	
392.257	106	
392.274	129	
392.291	127	
392.308	109	
392.325	111	
392.342	106	
392.359	117	
392.375	111	
392.392	84	
392.409	113	
392.426	131	
392.443	88	
392.46	107	
392.477	110	
392.493	108	
392.51	105	
392.527	89	
392.544	102	
392.561	99	
392.578	86	
392.595	93	
392.611	86	
392.628	100	
392.645	81	
392.662	86	
392.679	74	
392.696	94	
392.713	95	
392.73	85	
392.747	80	
392.763	81	
392.78	81	
392.797	81	
392.814	86	
392.831	65	
392.848	73	
392.865	81	
392.882	75	
392.899	84	
392.916	86	
392.932	77	
392.949	64	
392.966	78	
392.983	78	
393	75	
393.017	70	
393.034	76	
393.051	86	
393.068	71	
393.085	76	
393.102	78	
393.119	85	
393.136	78	
393.152	59	
393.169	85	
393.186	69	
393.203	77	
393.22	77	
393.237	79	
393.254	70	
393.271	64	
393.288	77	
393.305	64	
393.322	66	
393.339	76	
393.356	71	
393.373	87	
393.39	68	
393.407	77	
393.424	86	
393.441	78	
393.458	83	
393.475	85	
393.491	72	
393.508	78	
393.525	71	
393.542	106	
393.559	69	
393.576	72	
393.593	72	
393.61	74	
393.627	87	
393.644	65	
393.661	62	
393.678	68	
393.695	73	
393.712	74	
393.729	76	
393.746	67	
393.763	71	
393.78	83	
393.797	59	
393.814	68	
393.831	81	
393.848	96	
393.865	62	
393.882	77	
393.899	71	
393.916	84	
393.933	91	
393.95	63	
393.967	84	
393.984	87	
394.001	80	
394.018	59	
394.035	62	
394.052	73	
394.07	73	
394.087	78	
394.104	62	
394.121	72	
394.138	66	
394.155	79	
394.172	73	
394.189	66	
394.206	66	
394.223	91	
394.24	65	
394.257	67	
394.274	74	
394.291	77	
394.308	85	
394.325	79	
394.342	67	
394.359	73	
394.376	81	
394.393	78	
394.411	70	
394.428	63	
394.445	89	
394.462	72	
394.479	79	
394.496	69	
394.513	88	
394.53	80	
394.547	76	
394.564	77	
394.581	78	
394.598	72	
394.615	74	
394.633	83	
394.65	77	
394.667	84	
394.684	69	
394.701	66	
394.718	57	
394.735	70	
394.752	69	
394.769	85	
394.786	79	
394.804	90	
394.821	91	
394.838	91	
394.855	70	
394.872	82	
394.889	81	
394.906	85	
394.923	67	
394.941	61	
394.958	87	
394.975	81	
394.992	93	
395.009	71	
395.026	67	
395.043	77	
395.06	85	
395.078	91	
395.095	77	
395.112	76	
395.129	77	
395.146	58	
395.163	87	
395.18	90	
395.198	78	
395.215	90	
395.232	78	
395.249	86	
395.266	75	
395.283	75	
395.301	68	
395.318	85	
395.335	66	
395.352	72	
395.369	81	
395.386	79	
395.404	71	
395.421	82	
395.438	79	
395.455	80	
395.472	81	
395.489	94	
395.507	81	
395.524	81	
395.541	73	
395.558	73	
395.575	74	
395.593	65	
395.61	85	
395.627	72	
395.644	70	
395.661	76	
395.679	66	
395.696	83	
395.713	70	
395.73	58	
395.747	82	
395.765	71	
395.782	67	
395.799	78	
395.816	75	
395.834	87	
395.851	81	
395.868	65	
395.885	78	
395.902	78	
395.92	68	
395.937	73	
395.954	70	
395.971	74	
395.989	76	
396.006	75	
396.023	74	
396.04	82	
396.058	92	
396.075	69	
396.092	81	
396.109	92	
396.127	60	
396.144	81	
396.161	77	
396.178	92	
396.196	63	
396.213	76	
396.23	82	
396.247	74	
396.265	92	
396.282	88	
396.299	76	
396.316	81	
396.334	70	
396.351	84	
396.368	88	
396.386	87	
396.403	62	
396.42	74	
396.437	73	
396.455	68	
396.472	68	
396.489	74	
396.507	74	
396.524	76	
396.541	88	
396.558	50	
396.576	59	
396.593	48	
396.61	30	
396.628	33	
396.645	30	
396.662	25	
396.68	38	
396.697	22	
396.714	18	
396.732	17	
396.749	15	
396.766	14	
396.784	9	
396.801	5	
396.818	4	
396.835	2	
396.853	1	
396.87	0	
396.887	0	
396.905	0	
396.922	0	
396.939	0	
396.957	0	
396.974	0	
396.992	0	
397.009	0	
397.026	0	
397.044	0	
397.061	0	
397.078	0	
397.096	0	
397.113	0	
397.13	0	
397.148	0	
397.165	0	
397.182	0	
397.2	0	
397.217	0	
397.235	0	
397.252	0	
397.269	0	
397.287	0	
397.304	0	
397.321	0	
397.339	0	
397.356	0	
397.374	0	
397.391	0	
397.408	0	
397.426	0	
397.443	0	
397.461	0	
397.478	0	
397.495	0	
397.513	0	
397.53	0	
397.548	0	
397.565	0	
397.582	0	
397.6	0	
397.617	0	
397.635	0	
397.652	0	
397.669	0	
397.687	0	
397.704	0	
397.722	0	
397.739	0	
397.757	0	
397.774	0	
397.791	0	
397.809	0	
397.826	0	
397.844	0	
397.861	0	
397.879	0	
397.896	0	
397.913	0	
397.931	0	
397.948	0	
397.966	0	
397.983	0	
398.001	0	
398.018	0	
398.036	0	
398.053	0	
398.071	0	
398.088	0	
398.105	0	
398.123	0	
398.14	0	
398.158	0	
398.175	0	
398.193	0	
398.21	0	
398.228	0	
398.245	0	
398.263	0	
398.28	0	
398.298	0	
398.315	0	
398.333	0	
398.35	0	
398.368	0	
398.385	0	
398.403	0	
398.42	0	
398.438	0	
398.455	0	
398.473	0	
398.49	0	
398.508	0	
398.525	0	
398.543	0	
398.56	0	
398.578	0	
398.595	0	
398.613	0	
398.63	0	
398.648	0	
398.665	0	
398.683	0	
398.7	0	
398.718	0	
398.735	0	
398.753	0	
398.771	0	
398.788	0	
398.806	0	
398.823	0	
398.841	0	
398.858	0	
398.876	0	
398.893	0	
398.911	0	
398.928	0	
398.946	0	
398.964	0	
398.981	0	


totalCounts: Total Counts
Size: 
----------
totalCounts	
==========
112973	
