Scan: XES 392.4 eV #0
Date: 2012 08 17 21:02:16
Sample: [no sample]
Facility: CLS REIXS Beamline

xesSpectrum.X	xesSpectrum	
==========
358.292	0	
358.352	0	
358.412	0	
358.472	0	
358.532	0	
358.592	0	
358.652	0	
358.712	0	
358.772	0	
358.832	0	
358.892	0	
358.952	0	
359.012	0	
359.072	0	
359.132	0	
359.193	0	
359.253	0	
359.313	0	
359.373	0	
359.434	0	
359.494	1	
359.554	0	
359.615	0	
359.675	0	
359.735	0	
359.796	0	
359.856	0	
359.917	0	
359.977	1	
360.038	25	
360.098	123	
360.159	292	
360.219	299	
360.28	341	
360.341	315	
360.401	321	
360.462	320	
360.523	325	
360.584	323	
360.644	334	
360.705	296	
360.766	346	
360.827	318	
360.888	339	
360.949	334	
361.009	326	
361.07	338	
361.131	361	
361.192	372	
361.253	375	
361.314	382	
361.375	380	
361.437	380	
361.498	302	
361.559	361	
361.62	338	
361.681	345	
361.742	337	
361.804	342	
361.865	357	
361.926	346	
361.987	367	
362.049	379	
362.11	368	
362.171	378	
362.233	386	
362.294	354	
362.356	359	
362.417	372	
362.479	406	
362.54	367	
362.602	366	
362.663	353	
362.725	372	
362.787	404	
362.848	359	
362.91	355	
362.972	377	
363.033	367	
363.095	370	
363.157	343	
363.219	369	
363.281	352	
363.343	361	
363.404	349	
363.466	387	
363.528	347	
363.59	324	
363.652	340	
363.714	340	
363.776	378	
363.838	365	
363.9	338	
363.962	353	
364.025	362	
364.087	376	
364.149	338	
364.211	337	
364.273	361	
364.336	354	
364.398	321	
364.46	337	
364.523	368	
364.585	342	
364.647	351	
364.71	341	
364.772	384	
364.835	362	
364.897	356	
364.96	350	
365.022	328	
365.085	372	
365.147	367	
365.21	360	
365.273	350	
365.335	345	
365.398	376	
365.461	368	
365.523	366	
365.586	354	
365.649	364	
365.712	356	
365.775	351	
365.838	370	
365.9	325	
365.963	325	
366.026	357	
366.089	352	
366.152	355	
366.215	396	
366.278	359	
366.341	369	
366.405	371	
366.468	360	
366.531	370	
366.594	333	
366.657	383	
366.72	350	
366.784	394	
366.847	335	
366.91	410	
366.974	349	
367.037	325	
367.1	337	
367.164	376	
367.227	328	
367.291	361	
367.354	340	
367.418	356	
367.481	331	
367.545	381	
367.609	319	
367.672	351	
367.736	374	
367.799	366	
367.863	361	
367.927	384	
367.991	330	
368.054	353	
368.118	337	
368.182	330	
368.246	372	
368.31	336	
368.374	364	
368.438	340	
368.502	377	
368.566	364	
368.63	371	
368.694	333	
368.758	368	
368.822	345	
368.886	305	
368.95	342	
369.014	347	
369.079	334	
369.143	391	
369.207	349	
369.271	371	
369.336	363	
369.4	395	
369.464	322	
369.529	356	
369.593	381	
369.658	351	
369.722	360	
369.787	322	
369.851	356	
369.916	374	
369.98	415	
370.045	390	
370.109	374	
370.174	332	
370.239	375	
370.303	365	
370.368	367	
370.433	353	
370.498	358	
370.563	375	
370.627	383	
370.692	338	
370.757	375	
370.822	371	
370.887	370	
370.952	373	
371.017	353	
371.082	393	
371.147	392	
371.212	372	
371.277	379	
371.342	408	
371.408	383	
371.473	356	
371.538	402	
