Scan: BEST U=0.225 #0
Date: 2012 06 09 00:23:00
Sample: [no sample]
Facility: CLS REIXS Beamline

xesSpectrum.X	xesSpectrum	
==========
0	0	
1	0	
2	0	
3	0	
4	0	
5	0	
6	0	
7	0	
8	0	
9	0	
10	0	
11	0	
12	0	
13	0	
14	0	
15	0	
16	0	
17	0	
18	0	
19	0	
20	0	
21	0	
22	0	
23	0	
24	0	
25	0	
26	0	
27	0	
28	0	
29	0	
30	0	
31	6	
32	53	
33	60	
34	51	
35	65	
36	59	
37	79	
38	79	
39	96	
40	66	
41	72	
42	88	
43	55	
44	79	
45	63	
46	72	
47	83	
48	71	
49	76	
50	87	
51	79	
52	70	
53	85	
54	74	
55	76	
56	63	
57	80	
58	61	
59	81	
60	95	
61	71	
62	67	
63	87	
64	71	
65	79	
66	69	
67	59	
68	73	
69	70	
70	63	
71	62	
72	65	
73	68	
74	72	
75	63	
76	63	
77	61	
78	71	
79	76	
80	57	
81	63	
82	67	
83	79	
84	70	
85	54	
86	81	
87	60	
88	68	
89	62	
90	61	
91	62	
92	70	
93	87	
94	73	
95	48	
96	73	
97	62	
98	92	
99	68	
100	63	
101	58	
102	73	
103	51	
104	64	
105	61	
106	61	
107	64	
108	56	
109	61	
110	71	
111	64	
112	65	
113	75	
114	68	
115	66	
116	46	
117	72	
118	59	
119	76	
120	70	
121	58	
122	62	
123	76	
124	72	
125	73	
126	58	
127	73	
128	78	
129	72	
130	64	
131	71	
132	73	
133	67	
134	86	
135	78	
136	58	
137	79	
138	64	
139	63	
140	83	
141	59	
142	91	
143	71	
144	78	
145	69	
146	88	
147	84	
148	67	
149	81	
150	67	
151	78	
152	90	
153	92	
154	74	
155	84	
156	94	
157	79	
158	75	
159	90	
160	86	
161	89	
162	90	
163	86	
164	103	
165	78	
166	82	
167	89	
168	107	
169	95	
170	61	
171	84	
172	102	
173	95	
174	89	
175	114	
176	101	
177	84	
178	117	
179	106	
180	123	
181	112	
182	103	
183	133	
184	134	
185	127	
186	140	
187	150	
188	150	
189	149	
190	151	
191	145	
192	153	
193	170	
194	149	
195	162	
196	146	
197	186	
198	170	
199	201	
200	192	
201	200	
202	225	
203	195	
204	180	
205	194	
206	234	
207	227	
208	235	
209	288	
210	237	
211	258	
212	265	
213	276	
214	307	
215	312	
216	305	
217	329	
218	315	
219	317	
220	327	
221	330	
222	371	
223	355	
224	356	
225	397	
226	386	
227	340	
228	383	
229	375	
230	390	
231	373	
232	374	
233	389	
234	409	
235	406	
236	407	
237	412	
238	403	
239	389	
240	390	
241	417	
242	381	
243	405	
244	372	
245	472	
246	407	
247	406	
248	435	
249	401	
250	373	
251	426	
252	398	
253	430	
254	415	
255	426	
256	424	
257	421	
258	452	
259	431	
260	406	
261	421	
262	410	
263	412	
264	376	
265	437	
266	464	
267	452	
268	407	
269	435	
270	415	
271	439	
272	439	
273	467	
274	474	
275	418	
276	436	
277	463	
278	457	
279	469	
280	482	
281	487	
282	498	
283	474	
284	465	
285	467	
286	456	
287	525	
288	447	
289	490	
290	466	
291	494	
292	458	
293	486	
294	493	
295	512	
296	531	
297	503	
298	489	
299	522	
300	502	
301	499	
302	491	
303	569	
304	515	
305	544	
306	547	
307	556	
308	538	
309	563	
310	575	
311	589	
312	606	
313	580	
314	567	
315	641	
316	566	
317	639	
318	630	
319	574	
320	655	
321	612	
322	663	
323	606	
324	649	
325	659	
326	653	
327	682	
328	714	
329	645	
330	744	
331	740	
332	745	
333	729	
334	717	
335	806	
336	793	
337	804	
338	849	
339	831	
340	830	
341	883	
342	838	
343	888	
344	982	
345	888	
346	921	
347	895	
348	916	
349	924	
350	924	
351	918	
352	1013	
353	947	
354	880	
355	917	
356	980	
357	968	
358	946	
359	971	
360	996	
361	937	
362	1027	
363	1001	
364	983	
365	1009	
366	980	
367	994	
368	995	
369	1005	
370	982	
371	968	
372	974	
373	984	
374	952	
375	984	
376	989	
377	996	
378	953	
379	947	
380	948	
381	924	
382	935	
383	972	
384	954	
385	933	
386	967	
387	930	
388	990	
389	1002	
390	977	
391	968	
392	932	
393	994	
394	959	
395	956	
396	970	
397	1003	
398	1008	
399	1009	
400	965	
401	1026	
402	1033	
403	1038	
404	1066	
405	1066	
406	1092	
407	1058	
408	1134	
409	1138	
410	1137	
411	1215	
412	1179	
413	1236	
414	1202	
415	1234	
416	1280	
