data file, I0 file, data dark, I0 dark
grat000009, grat000006, grat000007, grat000007
grat000010, grat000006, grat000011, grat000007
grat000014, grat000012, grat000007, grat000007
grat000016, grat000012, grat000007, grat000007
grat000021, grat000018, grat000011, grat000007
grat000023, grat000018, grat000011, grat000007
grat000029, grat000031, grat000011, grat000007
grat000030, grat000031, grat000011, grat000007
grat000049, grat000047, 0.0, 0.0
grat000050, grat000047, 0.0, 0.0
grat000044, grat000042, 0.0, 0.0
grat000045, grat000042, 0.0, 0.0
grat000052, grat000053, 0.0, 0.0
grat000056, grat000054, 0.0, 0.0
grat000057, grat000054, 0.0, 0.0
grat000059, grat000058, 0.0, 0.0
grat000060, grat000058, 0.0, 0.0
grat000062, grat000061, 0.0, 0.0
grat000063, grat000061, 0.0, 0.0
grat000066, grat000065, 0.0, 0.0
grat000069, grat000068, 0.0, 0.0
grat000072, grat000070, 0.0, 0.0
grat000076, grat000075, 0.0, 0.0
grat000077, grat000075, 0.0, 0.0
grat000079, grat000078, 0.0, 0.0
grat000080, grat000078, 0.0, 0.0
grat000083, grat000082, 0.0, 0.0
grat000084, grat000082, 0.0, 0.0
grat000087, grat000085, 0.0, 0.0
grat000088, grat000085, 0.0, 0.0
grat000090, grat000089, 0.0, 0.0
grat000093, grat000092, 0.0, 0.0
grat000094, grat000092, 0.0, 0.0
grat000091, grat000089, 0.0, 0.0
grat000096, grat000095, 0.0, 0.0
grat000097, grat000095, 0.0, 0.0
grat000100, grat000106, 0.0, 0.0
grat000101, grat000106, 0.0, 0.0
grat000104, grat000106, 0.0, 0.0
grat000105, grat000106, 0.0, 0.0
grat000155, grat000153, 0.0, 0.0
grat000156, grat000153, 0.0, 0.0
grat000158, grat000157, 0.0, 0.0
grat000159, grat000157, 0.0, 0.0
