data file, I0 file, data dark, I0 dark
grat000113, grat000111, 0.0, 0.0
grat000115, grat000111, grat000116, 0.0
grat000119, grat000118, 0.0, 0.0
grat000120, grat000118, grat000116, 0.0
grat000122, grat000121, 0.0, 0.0
grat000123, grat000121, grat000116, 0.0
grat000125, grat000124, 0.0, 0.0
grat000126, grat000124, 0.0, 0.0
grat000128, grat000127, 0.0, 0.0
grat000129, grat000127, 0.0, 0.0
grat000131, grat000130, 0.0, 0.0
grat000132, grat000130, 0.0, 0.0
grat000134, grat000133, 0.0, 0.0
grat000135, grat000133, 0.0, 0.0
grat000142, grat000141, 0.0, 0.0
grat000143, grat000141, 0.0, 0.0
grat000145, grat000144, 0.0, 0.0
grat000146, grat000144, 0.0, 0.0
grat000148, grat000147, 0.0, 0.0
grat000150, grat000149, 0.0, 0.0
