Mono	Sample	Tilt	Azimuth	Detector	X	Y	Z	Axis	Start	Stop	N
11.000	4	NaN	NaN	11.675	NaN	NaN	NaN	n	NaN	NaN	NaN
11.267	4	NaN	NaN	11.743	NaN	NaN	NaN	n	NaN	NaN	NaN
11.533	4	NaN	NaN	11.810	NaN	NaN	NaN	n	NaN	NaN	NaN
11.800	4	NaN	NaN	11.876	NaN	NaN	NaN	n	NaN	NaN	NaN
12.067	4	NaN	NaN	11.942	NaN	NaN	NaN	n	NaN	NaN	NaN
12.333	4	NaN	NaN	12.007	NaN	NaN	NaN	n	NaN	NaN	NaN
12.600	4	NaN	NaN	12.072	NaN	NaN	NaN	n	NaN	NaN	NaN
12.867	4	NaN	NaN	12.136	NaN	NaN	NaN	n	NaN	NaN	NaN
13.133	4	NaN	NaN	12.200	NaN	NaN	NaN	n	NaN	NaN	NaN
13.400	4	NaN	NaN	12.263	NaN	NaN	NaN	n	NaN	NaN	NaN
13.667	4	NaN	NaN	12.326	NaN	NaN	NaN	n	NaN	NaN	NaN
13.933	4	NaN	NaN	12.388	NaN	NaN	NaN	n	NaN	NaN	NaN
14.200	4	NaN	NaN	12.450	NaN	NaN	NaN	n	NaN	NaN	NaN
14.467	4	NaN	NaN	12.512	NaN	NaN	NaN	n	NaN	NaN	NaN
14.733	4	NaN	NaN	12.573	NaN	NaN	NaN	n	NaN	NaN	NaN
15.000	4	NaN	NaN	12.633	NaN	NaN	NaN	n	NaN	NaN	NaN
