Mono	Sample	Tilt	Azimuth	Detector	X	Y	Z	Axis	Start	Stop	N
2.270	2	NaN	NaN	6.660	NaN	NaN	NaN	n	NaN	NaN	NaN
2.274	2	NaN	NaN	6.663	NaN	NaN	NaN	n	NaN	NaN	NaN
2.277	2	NaN	NaN	6.666	NaN	NaN	NaN	n	NaN	NaN	NaN
2.281	2	NaN	NaN	6.669	NaN	NaN	NaN	n	NaN	NaN	NaN
2.284	2	NaN	NaN	6.672	NaN	NaN	NaN	n	NaN	NaN	NaN
2.288	2	NaN	NaN	6.675	NaN	NaN	NaN	n	NaN	NaN	NaN
2.292	2	NaN	NaN	6.678	NaN	NaN	NaN	n	NaN	NaN	NaN
2.295	2	NaN	NaN	6.681	NaN	NaN	NaN	n	NaN	NaN	NaN
2.299	2	NaN	NaN	6.684	NaN	NaN	NaN	n	NaN	NaN	NaN
2.302	2	NaN	NaN	6.687	NaN	NaN	NaN	n	NaN	NaN	NaN
2.306	2	NaN	NaN	6.690	NaN	NaN	NaN	n	NaN	NaN	NaN
2.310	2	NaN	NaN	6.693	NaN	NaN	NaN	n	NaN	NaN	NaN
2.313	2	NaN	NaN	6.696	NaN	NaN	NaN	n	NaN	NaN	NaN
2.317	2	NaN	NaN	6.699	NaN	NaN	NaN	n	NaN	NaN	NaN
2.320	2	NaN	NaN	6.702	NaN	NaN	NaN	n	NaN	NaN	NaN
2.324	2	NaN	NaN	6.705	NaN	NaN	NaN	n	NaN	NaN	NaN
2.328	2	NaN	NaN	6.708	NaN	NaN	NaN	n	NaN	NaN	NaN
2.331	2	NaN	NaN	6.711	NaN	NaN	NaN	n	NaN	NaN	NaN
2.335	2	NaN	NaN	6.714	NaN	NaN	NaN	n	NaN	NaN	NaN
2.338	2	NaN	NaN	6.717	NaN	NaN	NaN	n	NaN	NaN	NaN
2.342	2	NaN	NaN	6.720	NaN	NaN	NaN	n	NaN	NaN	NaN
2.346	2	NaN	NaN	6.723	NaN	NaN	NaN	n	NaN	NaN	NaN
2.349	2	NaN	NaN	6.726	NaN	NaN	NaN	n	NaN	NaN	NaN
2.353	2	NaN	NaN	6.729	NaN	NaN	NaN	n	NaN	NaN	NaN
2.356	2	NaN	NaN	6.731	NaN	NaN	NaN	n	NaN	NaN	NaN
2.360	2	NaN	NaN	6.735	NaN	NaN	NaN	n	NaN	NaN	NaN
2.364	2	NaN	NaN	6.738	NaN	NaN	NaN	n	NaN	NaN	NaN
2.367	2	NaN	NaN	6.740	NaN	NaN	NaN	n	NaN	NaN	NaN
2.371	2	NaN	NaN	6.744	NaN	NaN	NaN	n	NaN	NaN	NaN
2.374	2	NaN	NaN	6.746	NaN	NaN	NaN	n	NaN	NaN	NaN
2.378	2	NaN	NaN	6.750	NaN	NaN	NaN	n	NaN	NaN	NaN
2.382	2	NaN	NaN	6.753	NaN	NaN	NaN	n	NaN	NaN	NaN
2.385	2	NaN	NaN	6.755	NaN	NaN	NaN	n	NaN	NaN	NaN
2.389	2	NaN	NaN	6.759	NaN	NaN	NaN	n	NaN	NaN	NaN
2.392	2	NaN	NaN	6.761	NaN	NaN	NaN	n	NaN	NaN	NaN
2.396	2	NaN	NaN	6.764	NaN	NaN	NaN	n	NaN	NaN	NaN
2.400	2	NaN	NaN	6.768	NaN	NaN	NaN	n	NaN	NaN	NaN
2.403	2	NaN	NaN	6.770	NaN	NaN	NaN	n	NaN	NaN	NaN
2.407	2	NaN	NaN	6.773	NaN	NaN	NaN	n	NaN	NaN	NaN
2.410	2	NaN	NaN	6.776	NaN	NaN	NaN	n	NaN	NaN	NaN
2.414	2	NaN	NaN	6.779	NaN	NaN	NaN	n	NaN	NaN	NaN
2.418	2	NaN	NaN	6.782	NaN	NaN	NaN	n	NaN	NaN	NaN
2.421	2	NaN	NaN	6.785	NaN	NaN	NaN	n	NaN	NaN	NaN
2.425	2	NaN	NaN	6.788	NaN	NaN	NaN	n	NaN	NaN	NaN
2.428	2	NaN	NaN	6.790	NaN	NaN	NaN	n	NaN	NaN	NaN
2.432	2	NaN	NaN	6.794	NaN	NaN	NaN	n	NaN	NaN	NaN
2.436	2	NaN	NaN	6.797	NaN	NaN	NaN	n	NaN	NaN	NaN
2.439	2	NaN	NaN	6.799	NaN	NaN	NaN	n	NaN	NaN	NaN
2.443	2	NaN	NaN	6.803	NaN	NaN	NaN	n	NaN	NaN	NaN
2.446	2	NaN	NaN	6.805	NaN	NaN	NaN	n	NaN	NaN	NaN
2.450	2	NaN	NaN	6.808	NaN	NaN	NaN	n	NaN	NaN	NaN
2.454	2	NaN	NaN	6.812	NaN	NaN	NaN	n	NaN	NaN	NaN
2.457	2	NaN	NaN	6.814	NaN	NaN	NaN	n	NaN	NaN	NaN
2.461	2	NaN	NaN	6.817	NaN	NaN	NaN	n	NaN	NaN	NaN
2.464	2	NaN	NaN	6.820	NaN	NaN	NaN	n	NaN	NaN	NaN
2.468	2	NaN	NaN	6.823	NaN	NaN	NaN	n	NaN	NaN	NaN
2.472	2	NaN	NaN	6.826	NaN	NaN	NaN	n	NaN	NaN	NaN
2.475	2	NaN	NaN	6.829	NaN	NaN	NaN	n	NaN	NaN	NaN
2.479	2	NaN	NaN	6.832	NaN	NaN	NaN	n	NaN	NaN	NaN
2.482	2	NaN	NaN	6.834	NaN	NaN	NaN	n	NaN	NaN	NaN
2.486	2	NaN	NaN	6.837	NaN	NaN	NaN	n	NaN	NaN	NaN
2.490	2	NaN	NaN	6.841	NaN	NaN	NaN	n	NaN	NaN	NaN
2.493	2	NaN	NaN	6.843	NaN	NaN	NaN	n	NaN	NaN	NaN
2.497	2	NaN	NaN	6.846	NaN	NaN	NaN	n	NaN	NaN	NaN
2.500	2	NaN	NaN	6.849	NaN	NaN	NaN	n	NaN	NaN	NaN
2.504	2	NaN	NaN	6.852	NaN	NaN	NaN	n	NaN	NaN	NaN
2.508	2	NaN	NaN	6.855	NaN	NaN	NaN	n	NaN	NaN	NaN
2.511	2	NaN	NaN	6.858	NaN	NaN	NaN	n	NaN	NaN	NaN
2.515	2	NaN	NaN	6.861	NaN	NaN	NaN	n	NaN	NaN	NaN
2.518	2	NaN	NaN	6.863	NaN	NaN	NaN	n	NaN	NaN	NaN
2.522	2	NaN	NaN	6.866	NaN	NaN	NaN	n	NaN	NaN	NaN
2.526	2	NaN	NaN	6.870	NaN	NaN	NaN	n	NaN	NaN	NaN
2.529	2	NaN	NaN	6.872	NaN	NaN	NaN	n	NaN	NaN	NaN
2.533	2	NaN	NaN	6.875	NaN	NaN	NaN	n	NaN	NaN	NaN
2.536	2	NaN	NaN	6.878	NaN	NaN	NaN	n	NaN	NaN	NaN
2.540	2	NaN	NaN	6.881	NaN	NaN	NaN	n	NaN	NaN	NaN
2.544	2	NaN	NaN	6.884	NaN	NaN	NaN	n	NaN	NaN	NaN
2.547	2	NaN	NaN	6.886	NaN	NaN	NaN	n	NaN	NaN	NaN
2.551	2	NaN	NaN	6.890	NaN	NaN	NaN	n	NaN	NaN	NaN
2.554	2	NaN	NaN	6.892	NaN	NaN	NaN	n	NaN	NaN	NaN
2.558	2	NaN	NaN	6.895	NaN	NaN	NaN	n	NaN	NaN	NaN
2.562	2	NaN	NaN	6.898	NaN	NaN	NaN	n	NaN	NaN	NaN
2.565	2	NaN	NaN	6.901	NaN	NaN	NaN	n	NaN	NaN	NaN
2.569	2	NaN	NaN	6.904	NaN	NaN	NaN	n	NaN	NaN	NaN
2.572	2	NaN	NaN	6.906	NaN	NaN	NaN	n	NaN	NaN	NaN
