Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	2.6(0:0:0) 	176.5 	0 	525 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.354231 	0.0335005 	0.0267948 	0.0201542
Blazed 	2.6(0:0:0) 	176.5 	0 	530 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.3506 	0.0329907 	0.0264281 	0.0201007
Blazed 	2.6(0:0:0) 	176.5 	0 	535 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.347029 	0.0325212 	0.026091 	0.0200794
Blazed 	2.6(0:0:0) 	176.5 	0 	540 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.343739 	0.0321124 	0.0257941 	0.0200904
Blazed 	2.6(0:0:0) 	176.5 	0 	545 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.340826 	0.0317718 	0.0255415 	0.0201327
Blazed 	2.6(0:0:0) 	176.5 	0 	550 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.338685 	0.0315482 	0.0253654 	0.0202234
Blazed 	2.6(0:0:0) 	176.5 	0 	555 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.337665 	0.0314345 	0.0252492 	0.0203216
Blazed 	2.6(0:0:0) 	176.5 	0 	560 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.337156 	0.0313644 	0.0251539 	0.0204141
Blazed 	2.6(0:0:0) 	176.5 	0 	565 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.336931 	0.0313126 	0.0250644 	0.0204956
Blazed 	2.6(0:0:0) 	176.5 	0 	570 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.336877 	0.0312643 	0.0249715 	0.0205615
Blazed 	2.6(0:0:0) 	176.5 	0 	575 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.336736 	0.0311761 	0.0248445 	0.0205892
Blazed 	2.6(0:0:0) 	176.5 	0 	580 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.336545 	0.0310739 	0.0247057 	0.0206043
