Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	2.6(0:0:0) 	176.5 	0 	525 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.328065 	0.0181836 	0.0109839 	0.0108934
Blazed 	2.6(0:0:0) 	176.5 	0 	530 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.324398 	0.0178691 	0.0107288 	0.0106235
Blazed 	2.6(0:0:0) 	176.5 	0 	535 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.32081 	0.0175854 	0.0104965 	0.0103747
Blazed 	2.6(0:0:0) 	176.5 	0 	540 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.317536 	0.0173446 	0.0102932 	0.0101519
Blazed 	2.6(0:0:0) 	176.5 	0 	545 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.314676 	0.0171508 	0.0101202 	0.00995628
Blazed 	2.6(0:0:0) 	176.5 	0 	550 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.312656 	0.0170353 	0.00999487 	0.00980257
Blazed 	2.6(0:0:0) 	176.5 	0 	555 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311819 	0.0169872 	0.00990652 	0.00967977
Blazed 	2.6(0:0:0) 	176.5 	0 	560 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311516 	0.0169648 	0.00983212 	0.0095686
Blazed 	2.6(0:0:0) 	176.5 	0 	565 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311506 	0.0169519 	0.00976276 	0.00946166
Blazed 	2.6(0:0:0) 	176.5 	0 	570 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311664 	0.0169388 	0.00969291 	0.00935432
Blazed 	2.6(0:0:0) 	176.5 	0 	575 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311705 	0.0168957 	0.00960545 	0.00923176
Blazed 	2.6(0:0:0) 	176.5 	0 	580 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311683 	0.0168423 	0.00951293 	0.00910558
Blazed 	2.6(0:0:0) 	176.5 	0 	585 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311602 	0.0167811 	0.00941699 	0.0089773
Blazed 	2.6(0:0:0) 	176.5 	0 	590 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311438 	0.0167109 	0.0093171 	0.00884658
Blazed 	2.6(0:0:0) 	176.5 	0 	595 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.311176 	0.0166309 	0.00921296 	0.00871318
Blazed 	2.6(0:0:0) 	176.5 	0 	600 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.310865 	0.0165454 	0.00910694 	0.00857915
Blazed 	2.6(0:0:0) 	176.5 	0 	605 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.31051 	0.0164552 	0.00899949 	0.00844488
Blazed 	2.6(0:0:0) 	176.5 	0 	610 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.310097 	0.0163615 	0.00889151 	0.00831119
Blazed 	2.6(0:0:0) 	176.5 	0 	615 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.309677 	0.0162669 	0.00878429 	0.00817909
Blazed 	2.6(0:0:0) 	176.5 	0 	620 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.309268 	0.0161726 	0.00867835 	0.00804898
Blazed 	2.6(0:0:0) 	176.5 	0 	625 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.308876 	0.0160804 	0.0085748 	0.00792177
Blazed 	2.6(0:0:0) 	176.5 	0 	630 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.308574 	0.0159922 	0.00847426 	0.00779789
Blazed 	2.6(0:0:0) 	176.5 	0 	635 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.308343 	0.0159063 	0.00837572 	0.00767647
Blazed 	2.6(0:0:0) 	176.5 	0 	640 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.308177 	0.0158218 	0.00827882 	0.00755714
Blazed 	2.6(0:0:0) 	176.5 	0 	645 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.308062 	0.0157377 	0.00818287 	0.00743931
Blazed 	2.6(0:0:0) 	176.5 	0 	650 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.30795 	0.015649 	0.0080853 	0.00732081
Blazed 	2.6(0:0:0) 	176.5 	0 	655 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.30776 	0.015549 	0.00798263 	0.00719869
