Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	2.6(0:0:0) 	176.5 	0 	525 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.366376 	0.0417545 	0.0322112 	0.0187137
Blazed 	2.6(0:0:0) 	176.5 	0 	530 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.362717 	0.0411935 	0.0319328 	0.0187542
Blazed 	2.6(0:0:0) 	176.5 	0 	535 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.359112 	0.0406742 	0.0316917 	0.0188377
Blazed 	2.6(0:0:0) 	176.5 	0 	540 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.35578 	0.0402202 	0.0314954 	0.0189628
Blazed 	2.6(0:0:0) 	176.5 	0 	545 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.352815 	0.0398404 	0.0313464 	0.0191278
Blazed 	2.6(0:0:0) 	176.5 	0 	550 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.350606 	0.0395907 	0.0312769 	0.0193494
Blazed 	2.6(0:0:0) 	176.5 	0 	555 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.349502 	0.039466 	0.0312557 	0.0195683
Blazed 	2.6(0:0:0) 	176.5 	0 	560 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.348901 	0.039391 	0.0312476 	0.0197741
Blazed 	2.6(0:0:0) 	176.5 	0 	565 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.348583 	0.0393369 	0.031239 	0.019962
Blazed 	2.6(0:0:0) 	176.5 	0 	570 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.348436 	0.0392871 	0.031221 	0.0201265
Blazed 	2.6(0:0:0) 	176.5 	0 	575 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.348209 	0.0391927 	0.0311603 	0.0202411
Blazed 	2.6(0:0:0) 	176.5 	0 	580 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.347936 	0.0390824 	0.0310856 	0.0203396
Blazed 	2.6(0:0:0) 	176.5 	0 	585 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.347618 	0.0389597 	0.0310006 	0.0204269
Blazed 	2.6(0:0:0) 	176.5 	0 	590 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.347233 	0.0388224 	0.0309045 	0.0205037
Blazed 	2.6(0:0:0) 	176.5 	0 	595 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.346767 	0.038669 	0.0307966 	0.0205705
Blazed 	2.6(0:0:0) 	176.5 	0 	600 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.346265 	0.0385067 	0.0306816 	0.0206304
Blazed 	2.6(0:0:0) 	176.5 	0 	605 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.345732 	0.0383367 	0.0305602 	0.0206847
Blazed 	2.6(0:0:0) 	176.5 	0 	610 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.34515 	0.0381602 	0.0304345 	0.0207371
Blazed 	2.6(0:0:0) 	176.5 	0 	615 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.344568 	0.0379824 	0.0303066 	0.0207878
Blazed 	2.6(0:0:0) 	176.5 	0 	620 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.344003 	0.0378053 	0.0301777 	0.0208372
Blazed 	2.6(0:0:0) 	176.5 	0 	625 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.343457 	0.0376316 	0.0300502 	0.0208881
Blazed 	2.6(0:0:0) 	176.5 	0 	630 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.343001 	0.0374663 	0.0299255 	0.0209381
Blazed 	2.6(0:0:0) 	176.5 	0 	635 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.342618 	0.0373064 	0.0298017 	0.0209858
Blazed 	2.6(0:0:0) 	176.5 	0 	640 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.342302 	0.0371508 	0.0296782 	0.0210313
Blazed 	2.6(0:0:0) 	176.5 	0 	645 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.342043 	0.0369975 	0.0295536 	0.0210738
Blazed 	2.6(0:0:0) 	176.5 	0 	650 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.341799 	0.0368384 	0.0294224 	0.0211096
Blazed 	2.6(0:0:0) 	176.5 	0 	655 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.3415 	0.0366617 	0.0292767 	0.0211339
Blazed 	2.6(0:0:0) 	176.5 	0 	660 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.341099 	0.0364685 	0.0291188 	0.0211528
Blazed 	2.6(0:0:0) 	176.5 	0 	665 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.340661 	0.0362667 	0.0289534 	0.0211678
Blazed 	2.6(0:0:0) 	176.5 	0 	670 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.340113 	0.0360494 	0.0287763 	0.0211784
Blazed 	2.6(0:0:0) 	176.5 	0 	675 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.339426 	0.0358141 	0.0285861 	0.0211846
Blazed 	2.6(0:0:0) 	176.5 	0 	680 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.338681 	0.0355695 	0.0283877 	0.0211869
Blazed 	2.6(0:0:0) 	176.5 	0 	685 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.337795 	0.0353112 	0.0281791 	0.0211875
Blazed 	2.6(0:0:0) 	176.5 	0 	690 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.336867 	0.0350477 	0.0279648 	0.0211855
Blazed 	2.6(0:0:0) 	176.5 	0 	695 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.335905 	0.0347795 	0.0277451 	0.0211804
Blazed 	2.6(0:0:0) 	176.5 	0 	700 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.334824 	0.0345013 	0.0275173 	0.0211734
Blazed 	2.6(0:0:0) 	176.5 	0 	705 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.333683 	0.034217 	0.0272832 	0.0211628
Blazed 	2.6(0:0:0) 	176.5 	0 	710 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.332376 	0.0339195 	0.0270391 	0.0211491
Blazed 	2.6(0:0:0) 	176.5 	0 	715 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.33107 	0.0336306 	0.0267994 	0.0211391
Blazed 	2.6(0:0:0) 	176.5 	0 	720 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.329776 	0.0333462 	0.0265607 	0.0211284
Blazed 	2.6(0:0:0) 	176.5 	0 	725 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.328516 	0.0330752 	0.0263296 	0.0211226
Blazed 	2.6(0:0:0) 	176.5 	0 	730 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.327292 	0.0328088 	0.0260992 	0.0211143
Blazed 	2.6(0:0:0) 	176.5 	0 	735 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.326119 	0.0325526 	0.025874 	0.0211071
Blazed 	2.6(0:0:0) 	176.5 	0 	740 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.325007 	0.0323076 	0.0256544 	0.0211011
Blazed 	2.6(0:0:0) 	176.5 	0 	745 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.323947 	0.0320704 	0.0254383 	0.0210943
Blazed 	2.6(0:0:0) 	176.5 	0 	750 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.322957 	0.0318471 	0.0252303 	0.0210905
Blazed 	2.6(0:0:0) 	176.5 	0 	755 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.322012 	0.031629 	0.0250239 	0.021084
Blazed 	2.6(0:0:0) 	176.5 	0 	760 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.321174 	0.0314286 	0.0248284 	0.021082
Blazed 	2.6(0:0:0) 	176.5 	0 	765 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.320435 	0.0312404 	0.0246395 	0.0210804
Blazed 	2.6(0:0:0) 	176.5 	0 	770 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319854 	0.0310737 	0.0244639 	0.0210842
Blazed 	2.6(0:0:0) 	176.5 	0 	775 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319531 	0.0309319 	0.0243028 	0.0210915
Blazed 	2.6(0:0:0) 	176.5 	0 	780 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319425 	0.0308103 	0.0241534 	0.0211013
Blazed 	2.6(0:0:0) 	176.5 	0 	785 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319385 	0.0306882 	0.0240014 	0.0211041
Blazed 	2.6(0:0:0) 	176.5 	0 	790 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319405 	0.0305682 	0.0238492 	0.0211023
Blazed 	2.6(0:0:0) 	176.5 	0 	795 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319412 	0.030438 	0.0236883 	0.0210896
Blazed 	2.6(0:0:0) 	176.5 	0 	800 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319454 	0.0303079 	0.0235262 	0.0210721
